subzone,lat_start,long_start,lat_end,long_end
0,69.407,33.75,69.437,34
1,69.437,34,69.931,39
2,69.931,39,70.317,45
3,70.317,45,70.48,50
4,70.48,50,70.504,55
5,70.504,55,70.455,57.92
6,70.455,57.92,71.289,60
7,71.289,60,72.958,65
8,72.958,65,74.257,70
9,74.257,70,75.277,75
10,75.277,75,75.934,79
11,75.934,79,76.079,80
12,76.079,80,76.708,85
13,76.708,85,77.193,90
14,77.193,90,77.556,95
15,77.556,95,77.812,100
16,77.812,100,77.971,105
17,77.971,105,77.71,110
18,77.71,110,77.342,115
19,77.342,115,76.852,120
20,76.852,120,76.219,125
21,76.219,125,75.41,130
22,75.41,130,74.383,135
23,74.383,135,73.074,140
24,73.074,140,73.166,145
25,73.166,145,73.137,150
26,73.137,150,72.986,155
27,72.986,155,72.707,160
28,72.707,160,72.29,165
29,72.29,165,71.72,170
30,71.72,170,70.974,175
31,70.974,175,70.02,180
32,70.02,180,69.829,-175
33,69.829,-175,69.49,-170
34,69.49,-170,69.1,-167.033
35,69.1,-167.033,64.1,-168.75
36,64.1,-168.75,64.07,-170
