year,scenario,price,units
2015,Ref,4.51188,1975$/GJ
2020,Ref,4.68104,1975$/GJ
2025,Ref,4.65356,1975$/GJ
2030,Ref,4.73587,1975$/GJ
2035,Ref,4.87309,1975$/GJ
2040,Ref,4.68631,1975$/GJ
2045,Ref,4.48737,1975$/GJ
2050,Ref,4.29527,1975$/GJ
2055,Ref,4.10858,1975$/GJ
2060,Ref,3.93441,1975$/GJ
2065,Ref,3.78522,1975$/GJ
2070,Ref,3.6481,1975$/GJ
2075,Ref,3.50731,1975$/GJ
2080,Ref,3.3357,1975$/GJ
2085,Ref,3.15367,1975$/GJ
2090,Ref,2.96667,1975$/GJ
2095,Ref,2.77822,1975$/GJ
2100,Ref,2.59129,1975$/GJ
2015,Pol,4.51188,1975$/GJ
2020,Pol,4.67987,1975$/GJ
2025,Pol,4.65304,1975$/GJ
2030,Pol,4.73999,1975$/GJ
2035,Pol,4.88098,1975$/GJ
2040,Pol,4.92143,1975$/GJ
2045,Pol,4.71217,1975$/GJ
2050,Pol,4.24461,1975$/GJ
2055,Pol,3.74751,1975$/GJ
2060,Pol,3.49153,1975$/GJ
2065,Pol,3.60247,1975$/GJ
2070,Pol,4.2681,1975$/GJ
2075,Pol,4.78965,1975$/GJ
2080,Pol,5.29744,1975$/GJ
2085,Pol,5.94421,1975$/GJ
2090,Pol,6.71493,1975$/GJ
2095,Pol,7.69902,1975$/GJ
2100,Pol,8.9622,1975$/GJ
