Source: ,,https://fred.stlouisfed.org/series/A191RD3A086NBEA
DATE,year,price deflator
1/1/1929,1929,8.778
1/1/1930,1930,8.457
1/1/1931,1931,7.587
1/1/1932,1932,6.7
1/1/1933,1933,6.514
1/1/1934,1934,6.871
1/1/1935,1935,7.012
1/1/1936,1936,7.097
1/1/1937,1937,7.402
1/1/1938,1938,7.19
1/1/1939,1939,7.12
1/1/1940,1940,7.205
1/1/1941,1941,7.692
1/1/1942,1942,8.304
1/1/1943,1943,8.683
1/1/1944,1944,8.89
1/1/1945,1945,9.12
1/1/1946,1946,10.296
1/1/1947,1947,11.426
1/1/1948,1948,12.067
1/1/1949,1949,12.046
1/1/1950,1950,12.195
1/1/1951,1951,13.06
1/1/1952,1952,13.286
1/1/1953,1953,13.447
1/1/1954,1954,13.572
1/1/1955,1955,13.801
1/1/1956,1956,14.271
1/1/1957,1957,14.744
1/1/1958,1958,15.08
1/1/1959,1959,15.287
1/1/1960,1960,15.495
1/1/1961,1961,15.66
1/1/1962,1962,15.85
1/1/1963,1963,16.032
1/1/1964,1964,16.276
1/1/1965,1965,16.574
1/1/1966,1966,17.039
1/1/1967,1967,17.533
1/1/1968,1968,18.28
1/1/1969,1969,19.176
1/1/1970,1970,20.189
1/1/1971,1971,21.212
1/1/1972,1972,22.13
1/1/1973,1973,23.342
1/1/1974,1974,25.443
1/1/1975,1975,27.8
1/1/1976,1976,29.33
1/1/1977,1977,31.152
1/1/1978,1978,33.343
1/1/1979,1979,36.11
1/1/1980,1980,39.371
1/1/1981,1981,43.097
1/1/1982,1982,45.759
1/1/1983,1983,47.552
1/1/1984,1984,49.267
1/1/1985,1985,50.826
1/1/1986,1986,51.849
1/1/1987,1987,53.134
1/1/1988,1988,55.008
1/1/1989,1989,57.165
1/1/1990,1990,59.305
1/1/1991,1991,61.31
1/1/1992,1992,62.707
1/1/1993,1993,64.194
1/1/1994,1994,65.564
1/1/1995,1995,66.939
1/1/1996,1996,68.164
1/1/1997,1997,69.34
1/1/1998,1998,70.119
1/1/1999,1999,71.111
1/1/2000,2000,72.722
1/1/2001,2001,74.36
1/1/2002,2002,75.515
1/1/2003,2003,77.006
1/1/2004,2004,79.077
1/1/2005,2005,81.556
1/1/2006,2006,84.071
1/1/2007,2007,86.349
1/1/2008,2008,88.013
1/1/2009,2009,88.556
1/1/2010,2010,89.632
1/1/2011,2011,91.481
1/1/2012,2012,93.185
1/1/2013,2013,94.771
1/1/2014,2014,96.421
1/1/2015,2015,97.316
1/1/2016,2016,98.241
1/1/2017,2017,100
1/1/2018,2018,102.291
1/1/2019,2019,104.008
1/1/2020,2020,105.381
1/1/2021,2021,110.213
1/1/2022,2022,117.973
1/1/2023,2023,122.273
