GCAM_period,year
2015,2015
2015,2016
2015,2017
2015,2018
2015,2019
2020,2020
2020,2021
2020,2022
2020,2023
2020,2024
2025,2025
2025,2026
2025,2027
2025,2028
2025,2029
2030,2030
2030,2031
2030,2032
2030,2033
2030,2034
2035,2035
2035,2036
2035,2037
2035,2038
2035,2039
2040,2040
2040,2041
2040,2042
2040,2043
2040,2044
2045,2045
2045,2046
2045,2047
2045,2048
2045,2049
2050,2050
2050,2051
2050,2052
2050,2053
2050,2054
2055,2055
2055,2056
2055,2057
2055,2058
2055,2059
2060,2060
2060,2061
2060,2062
2060,2063
2060,2064
2065,2065
2065,2066
2065,2067
2065,2068
2065,2069
2070,2070
2070,2071
2070,2072
2070,2073
2070,2074
2075,2075
2075,2076
2075,2077
2075,2078
2075,2079
2080,2080
2080,2081
2080,2082
2080,2083
2080,2084
2085,2085
2085,2086
2085,2087
2085,2088
2085,2089
2090,2090
2090,2091
2090,2092
2090,2093
2090,2094
2095,2095
2095,2096
2095,2097
2095,2098
2095,2099
2100,2100
