SIT_ens,ens,rcp
ECEarth3_r1_1,ens1,2p6
ECEarth3_r1_2,ens1,4p5
ECEarth3_r1_3,ens1,8p5
ECEarth3_r2_1,ens2,2p6
ECEarth3_r2_2,ens2,4p5
ECEarth3_r2_3,ens2,8p5
ECEarth3_r3_1,ens3,2p6
ECEarth3_r3_2,ens3,4p5
ECEarth3_r3_3,ens3,8p5
ECEarth3Veg_r1_1,ens4,2p6
ECEarth3Veg_r1_2,ens4,4p5
ECEarth3Veg_r1_3,ens4,8p5
ECEarth3Veg_r2_1,ens5,2p6
ECEarth3Veg_r2_2,ens5,4p5
ECEarth3Veg_r2_3,ens5,8p5
ECEarth3Veg_r3_1,ens6,2p6
ECEarth3Veg_r3_2,ens6,4p5
ECEarth3Veg_r3_3,ens6,8p5
IPSL-LR_r1_1,ens7,2p6
IPSL-LR_r1_2,ens7,4p5
IPSL-LR_r1_3,ens7,8p5
IPSL-LR_r2_1,ens8,2p6
IPSL-LR_r2_2,ens8,4p5
IPSL-LR_r2_3,ens8,8p5
IPSL-LR_r3_1,ens9,2p6
IPSL-LR_r3_2,ens9,4p5
IPSL-LR_r3_3,ens9,8p5
MIROC6_r1_1,ens10,2p6
MIROC6_r1_2,ens10,4p5
MIROC6_r1_3,ens10,8p5
MIROC6_r2_1,ens11,2p6
MIROC6_r2_2,ens11,4p5
MIROC6_r2_3,ens11,8p5
MIROC6_r3_1,ens12,2p6
MIROC6_r3_2,ens12,4p5
MIROC6_r3_3,ens12,8p5
MRI-ESM2_1,ens13,2p6
MRI-ESM2_2,ens13,4p5
MRI-ESM2_3,ens13,8p5
