sz,section
sz2,Pechora
sz3,Pechora
sz4,KaraEast
sz5,KaraEast
sz6,KaraEast
sz7,KaraEast
sz8,KaraWest
sz9,KaraWest
sz10,KaraWest
sz11,KaraWest
sz12,KaraWest
sz13,KaraWest
sz14,KaraWest
sz15,KaraWest
sz16,KaraWest
sz17,Laptev
sz18,Laptev
sz19,Laptev
sz20,Laptev
sz21,Laptev
sz22,Laptev
sz23,Laptev
sz24,Laptev
sz25,EastSiberianWest
sz26,EastSiberianWest
sz27,EastSiberianWest
sz28,EastSiberianWest
sz29,EastSiberianEast
sz30,EastSiberianEast
sz31,EastSiberianEast
sz32,EastSiberianEast
sz33,Chuckhi
sz34,Chuckhi
sz35,Chuckhi
sz36,Chuckhi
