sz,subAU,value
sz1,rus2_sz1,NA
sz2,rus2_sz1,1
sz3,rus2_sz1,1
sz4,rus2_sz1,1
sz5,rus2_sz1,1
sz6,rus2_sz1,1
sz7,rus2_sz1,1
sz8,rus2_sz1,1
sz9,rus2_sz1,1
sz10,rus2_sz1,1
sz11,rus2_sz1,1
sz12,rus2_sz1,1
sz13,rus2_sz1,1
sz14,rus2_sz1,1
sz15,rus2_sz1,1
sz16,rus2_sz1,1
sz17,rus2_sz1,1
sz18,rus2_sz1,1
sz19,rus2_sz1,1
sz20,rus2_sz1,1
sz21,rus2_sz1,1
sz22,rus2_sz1,1
sz23,rus2_sz1,1
sz24,rus2_sz1,1
sz25,rus2_sz1,1
sz26,rus2_sz1,1
sz27,rus2_sz1,1
sz28,rus2_sz1,1
sz29,rus2_sz1,1
sz30,rus2_sz1,1
sz31,rus2_sz1,1
sz32,rus2_sz1,1
sz33,rus2_sz1,1
sz34,rus2_sz1,1
sz35,rus2_sz1,1
sz36,rus2_sz1,1
sz1,rus3_sz1,NA
sz2,rus3_sz1,1
sz3,rus3_sz1,1
sz4,rus3_sz1,1
sz5,rus3_sz1,1
sz6,rus3_sz1,1
sz7,rus3_sz1,1
sz8,rus3_sz1,1
sz9,rus3_sz1,1
sz10,rus3_sz1,1
sz11,rus3_sz1,1
sz12,rus3_sz1,1
sz13,rus3_sz1,1
sz14,rus3_sz1,1
sz15,rus3_sz1,1
sz16,rus3_sz1,1
sz17,rus3_sz1,1
sz18,rus3_sz1,1
sz19,rus3_sz1,1
sz20,rus3_sz1,1
sz21,rus3_sz1,1
sz22,rus3_sz1,1
sz23,rus3_sz1,1
sz24,rus3_sz1,1
sz25,rus3_sz1,1
sz26,rus3_sz1,1
sz27,rus3_sz1,1
sz28,rus3_sz1,1
sz29,rus3_sz1,1
sz30,rus3_sz1,1
sz31,rus3_sz1,1
sz32,rus3_sz1,1
sz33,rus3_sz1,1
sz34,rus3_sz1,1
sz35,rus3_sz1,1
sz36,rus3_sz1,1
sz1,rus9_sz1,NA
sz2,rus9_sz1,1
sz3,rus9_sz1,1
sz4,rus9_sz1,1
sz5,rus9_sz1,1
sz6,rus9_sz1,1
sz7,rus9_sz1,1
sz8,rus9_sz1,1
sz9,rus9_sz1,1
sz10,rus9_sz1,1
sz11,rus9_sz1,1
sz12,rus9_sz1,1
sz13,rus9_sz1,1
sz14,rus9_sz1,1
sz15,rus9_sz1,1
sz16,rus9_sz1,1
sz17,rus9_sz1,1
sz18,rus9_sz1,1
sz19,rus9_sz1,1
sz20,rus9_sz1,1
sz21,rus9_sz1,1
sz22,rus9_sz1,1
sz23,rus9_sz1,1
sz24,rus9_sz1,1
sz25,rus9_sz1,1
sz26,rus9_sz1,1
sz27,rus9_sz1,1
sz28,rus9_sz1,1
sz29,rus9_sz1,1
sz30,rus9_sz1,1
sz31,rus9_sz1,1
sz32,rus9_sz1,1
sz33,rus9_sz1,1
sz34,rus9_sz1,1
sz35,rus9_sz1,1
sz36,rus9_sz1,1
sz1,rus18_sz10,2
sz2,rus18_sz10,2
sz3,rus18_sz10,2
sz4,rus18_sz10,2
sz5,rus18_sz10,2
sz6,rus18_sz10,2
sz7,rus18_sz10,2
sz8,rus18_sz10,2
sz9,rus18_sz10,2
sz10,rus18_sz10,NA
sz11,rus18_sz10,1
sz12,rus18_sz10,1
sz13,rus18_sz10,1
sz14,rus18_sz10,1
sz15,rus18_sz10,1
