region,arcticAU,technology,AU,year,Scenario,value,units
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e10,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e11,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e5,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e6,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e7,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e8,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Policy_2p6_e9,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e10,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e11,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Policy_2p6_e5,0,EJ
