region,arcticAU,technology,AU,year,Scenario,value,units
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e5,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e6,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e7,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e8,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,1990,Ref_8p5_e9,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e5,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e6,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e7,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e8,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2005,Ref_8p5_e9,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e5,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e6,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e7,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e8,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2010,Ref_8p5_e9,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e12,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e13,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e2,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e3,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e4,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e5,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e6,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e7,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e8,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2015,Ref_8p5_e9,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2020,Ref_8p5_e1,0,EJ
Canada,Baffin Bay Basin,arctic offshore oil can11,can11,2020,Ref_8p5_e12,0,EJ
